id,name,description,neighbourhood_cleansed,property_type,tags
7097.0,Perfect for Your Parents:  Privacy + Garden,"Parents/grandparents coming to town, or are you just here for work or play? You'll love this Victorian townhouse on a quiet residential street. We live on site, and will greet you upon check-in. You'll enjoy your own kitchenette, bedroom, bathroom and living area. There's a huge garden. About 1000 sq ft. in our townhouse. Big hi-def 48-inch TV w/cable and internet, and garden access. NYC short-term-rental compliant!<br /><br /><b>The space</b><br />California King-size bed, en suite bathroom with shower (no tub).  Very spacious (for NY) and clean: We follow CDC guidelines for disinfecting. Kitchenette does not have a stove. It features cooktop, microwave, fridge/freezer, sink, cutlery/dishes/pots/pans, coffeepot, teapot as well as coffee, tea. For an oven, you share kitchen one flight up (we don't cook much). Stairs lead to parlor floor. Only two steps to negotiate to enter. Downside: Unit is not particularly sunny.<br /><br /><b>Guest access</b><br />Can access all spaces. Several ent",Fort Greene,Entire apartment,"['Night', '100%', 'the 1800', 'nights', 'approximately 500 square feet', 'more than 2']"
7750.0,2 Furnished bedrooms next to Central Park,"Great location just steps to Central Park.<br />Elevator building.<br />2 bedrooms apartment about 800 sqf<br />You will share the kitchen and bathroom with one female roommate who stays in her own room.<br />Located on 109th St East Side. Just half a block to Central park. <br />Building is one minute walk to 5th ave. You have many subway options within 5 mins walk away ,close to the 6 and 2/3 subway. Only 15 mins ride to Time square.<br /><br /><b>The space</b><br />Large Furnished bedroom one block to Central Park - sleeps 1  in this room.<br />Available Starting May7th 2020<br /><br />The apartment large. 2 bed room. will full size kitchen and bath. <br />One bed with queens size bed and the other with a full size bed. large real kitchen with stove and dishwasher . a nice size bathroom with big bath tub. <br />The rate is $50 per night. 13nights min please.<br />plus $40 one time cleaning fee. <br />There is a $300 refundable deposit needed at check in time<br />Please tell me a li",East Harlem,Private room in apartment,"['About 1000 sq ft', '48-inch', 'NYC', 'NY', 'CDC', 'one', 'Only two']"
7801.0,Sweet and Spacious Brooklyn Loft,"A true open-plan loft in a repurposed factory building with beautiful sunlight, a king bed and comfy double futon, fully stocked kitchen with dishwasher, washer and dryer, custom cedar sauna, bathroom with tub and shower, and lots of lounging spaces.<br /><br /><b>The space</b><br />The apartment is an open-plan 1500 sq. ft. loft (140 sq m) with 5 large windows providing bright sunlight all day, located in an old factory building with many of the original finishes including tin ceilings, wooden beams and columns, and white brick walls. Very few of these original factory loft buildings remain in the neighborhood, and this space is quite special.<br /><br />Located in the very center of Williamsburg: just two blocks from the Bedford L train and two blocks from McCarren park! Stellar restaurants, bars, nightlife, and shopping are all steps away. Manhattan is just a 5-10 minute ride on the L train.<br /><br />The loft has a fully stocked kitchen with fridge, oven, microwave, dishwasher, an",Williamsburg,Entire loft,"['Central Park.<br', 'about 800 sqf', '109th St East Side', 'Central park', 'one minute', '5th ave', '5 mins', '6', '2/3', 'Only 15 mins', 'Time square.<br', 'one', 'Central Park', '1', 'May7th 2020', '2', '50', '13nights min', '40', 'one', '300']"
8490.0,"Maison des Sirenes1,bohemian, luminous apartment","<b>The space</b><br />I am the lucky owner of an amazing brownstone. I have been renting my second floor as a vacation rental for one year plus and have amazing response.I just discovered airbnb and i thought i could try it .looks like fun.!!!!<br />anyway the apt is (URL HIDDEN) features a terrasse with chairs ,table ,umbrella and (URL HIDDEN) is prefect for having a glass of wine in summer nights,grilling,brunch or simply chat and watch the stars!!!!<br /><br /><br />Because the house is about 100 years old,there is antique wood floor,two fireplaces and antique clawfoot tub.The kitchen is enterely equiped(stove ,fridge...) with brick counter like in Tuscany.<br />The master bedroom features a true queen size bed with double french door to the terrasse. The living room offers a daybed that turns into two twins beds or another queen size bed. Towels are provided.<br />cable and wifi<br /><br /><br />The neighbouhood bedstuy is the new upcoming place to be.It is often described as the h",Bedford-Stuyvesant,Entire loft,"['1500 sq. ft', '140 sq m', '5', 'all day', 'Williamsburg', 'two blocks', 'Bedford L train', 'two', 'McCarren park', 'Manhattan', '5-10 minute']"
9357.0,Midtown Pied-a-terre,"HELLO.  PLEASE DO NOT HIT ""REQUEST TO BOOK"". HIT CONTACT HOST BELOW FIRST.  THANK YOU.<br />Cozy & comfy studio on a quiet, tree-lined street, right in the heart of New York City!  Close to many subways with elevator & doorman.<br /><br /><b>The space</b><br />PLEASE DO NOT HIT ""REQUEST TO BOOK"". HIT SMALL ""CONTACT HOST"" ABOVE IN RED FIRST.  THANK YOU.<br /><br />LOCATION, LOCATION, LOCATION!  Cozy and comfortable midtown studio on a quiet tree-lined street, right in the heart of New York City!  Elevator, doorman, and laundry in the building... kitchen, private bath, approx. 300 sq. feet. Internet wifi and kitchen wares and towels included.  <br /><br />Right in the theatre district, and central to all things in NYC; 5 minute stroll to Central Park/Columbus Cirlce, 10 minutes to Times Square, Lincoln Center, Carnegie Hall, etc.  Close to most subway lines, and most any food your heart desires.  <br /><br />Thank you!<br /><br /><b>Guest access</b><br />Full apartment access",Hell's Kitchen,Entire apartment,"['second', 'one year plus', 'airbnb', 'summer', 'about 100 years old', 'two', 'two']"
9657.0,Modern 1 BR / NYC / East Village,"Awesome, spacious & clean 1 bedroom with a cozy, designer vibe. Offers great natural light & a quiet, comfortable workspace with high speed internet. Located in the east village, it is perfectly convenient for great restaurants and bars of all varieties. Super convenient access to subway lines; only 4 blocks from L train or quick walk to Union Square with access to N, R, Q and 4,5,6, short walk to F, V at 2nd Avenue or 6 at Astor place.<br /><br /><b>The space</b><br />The east village offers a mixture of old school cool NY flavor and new school sophistication. Fun and unique boutiques and cafes line the streets. For some urban nature, Tompkins Square Park is just 1 block east.<br />Although the neighborhood is lively and fun, the apartment is nice and quiet at night. As a designer in the interior/home field, I bring a unique element of style to my home. There is a great set up to work from home with a huge work table, pin up space and high speed internet. <br />If you are interested i",East Village,Entire apartment,"['FIRST', 'New York City', 'FIRST', 'New York City', 'approx. 300 sq. feet', 'NYC', '5 minute', 'Central Park/Columbus Cirlce', '10 minutes', 'Times Square', 'Lincoln Center', 'Carnegie Hall']"
9704.0,Spacious 1 bedroom in luxe building,"The room is spacious, the neighborhood is safe, and you are 10 blocks north of Central Park. The Subway is a 4 minute walk with Express and Local trains.  Plenty of restaurants, bars and cafes nearby.<br /><br />The room has a desk and chair. Sorry, the picture has not been updated.<br /><br /><b>The space</b><br />Comfortable and conveniently located 2 bedroom, 1.5 bathroom in the best area in Harlem (8th Avenue, between 120th and 121st streets).<br /><br />The second bedroom has a closet, dresser, and full size bed.  It is fully equipped with fresh linen, towels, etc.<br /><br />Please note, I only rent the room to two guests when I am out of town.<br /><br />Large modern living room/dining room has a sofa bed, tv but no cable, wifi (throughout apt), antique dining room table and chairs…<br /><br />Full kitchen with everything you could possible need and washer / dryer<br /><br />Nearby Restaurants/bars:<br />Vinteria - (8th Ave & 119th)<br />Delicious café / restaurant “Les Ambassad",Harlem,Private room in apartment,"['1', 'only 4 blocks', 'Union Square', '4,5,6', '2nd Avenue', '6', 'Astor place.<br', 'NY', 'Tompkins Square Park', 'night']"
10452.0,Large B&B Style rooms,"<b>The space</b><br />Private Rooms for Rent <br /><br />EVERYTHING IS INCLUDED!!! JUST BRING YOUR CLOTHES. <br />$70 <br />Low monthly rental rate <br />Offering a lovely furnished private rooms with full kitchen and bathroom in a brand new home for male or female. Perfect for travelers, students, international guests. <br /><br />Included: <br />All Utilities <br />Comfortable bed or pullout sofa (full size with fine linens, soaps and towels) <br />Fully equipped Kitchen and bath <br />All Rooms are extremely Clean and large <br />TV, High speed internet cable <br />Wireless internet <br />Housekeeping <br />Laundry room on premises <br /><br /><br />Great location: Franklin Avenue in Downtown Brooklyn.  Clean and Safe area. Two blocks from the A, C, and Shuttle train to the B, Q. Quick stops to Manhattan. Close to shopping area.",Bedford-Stuyvesant,Private room in apartment,"['10', 'Central Park', 'Subway', '4 minute', 'Express', '2', '1.5', 'Harlem', '8th Avenue', '120th', 'second', 'two', 'Les Ambassad']"
10962.0,"Lovely Room 2; Garden; Best area, Legal","DISCOUNTED NOW!  Lovely room,  gorgeous garden, helpful host in beautiful, vibrant Park Slope.  Super safe & quiet, culturally rich,  excellent restaurants, Prospect Park. <br />LEGAL rental.  <br />2 minutes walk to 3 great subway lines.  <br />Organic market, 6 gyms, by house.<br />Please read;  Write me about your trip and needs. <br />Please do not  request reservation until I reply ""YES"".<br /><br /><b>The space</b><br />Welcome to an historic and stunning 4-story Brooklyn house filled with light, color, artwork & lovely garden, in beautiful Park Slope!   Safe,  quiet, dynamic,  popular neighborhood (#1 in NY!)    <br />Discounted for  2020! <br />Three excellent SUBWAYS (R, F, G) by house.  20 mins to Manhattan.<br />LEGAL rental.<br />Please write;  Wait until I reply ""yes""  before you request reservation.   <br />Discounts for long stays; I'm flexible. <br />The main floor is my office.   Enjoy the patio and  garden!<br />This is a beautiful historic OLD  house, not modern,  so",South Slope,Private room in townhouse,"['Franklin Avenue', 'Brooklyn', 'Two', 'Manhattan']"
11943.0,Country space in the city,"<b>The space</b><br />Ditmas Park. Entire 3rd floor.  2 large rooms Sunny tree lined quiet street.  2 1/2 blocks to B express or Q local trains. 30 minutes to midtown. Light Breakfast included.  Organic food co-op, restaurants (3-4), pizza parlor in neighborhood.",Flatbush,Private room in house,"['Park Slope', 'Prospect Park', '3', '6', '4', 'Brooklyn', 'Park Slope', '1', 'NY', '2020', '20 mins']"
12192.0,ENJOY Downtown NYC!,"Please contact BEFORE sending reservation request.  Private Room with room for two, queen size bed in BASEMENT 3-bedroom apartment in bohemian East Village neighborhood. Restaurants, shops, live-music, night-life are all within blocks!  <br /><br />Currently only rent one room to keep covid risk low.  Apartment is in back of building and quiet for sleeping.   Let me know if you have any questions, thanks!<br /><br /><b>The space</b><br />You get your own room with comfortable queen size bed in 8x10 space.  Has plenty of storage & desk with fan & air conditioner during warmer months.  Good for short and long stays.   You will share the kitchen & bathroom with other guests and my roommate.<br /><br />Best for budget travelers looking for a safe, clean, convenient home base to experience NYC. Again it is in a three bedroom BASEMENT apartment with little sunlight.  FYI:  you must enter through building courtyard to get to apartment - so you will pass recycling & the garbage room.<br /><br ",East Village,Private room in apartment,"['3rd', '2', '2 1/2', '30 minutes', '3']"
12343.0,BEST BET IN HARLEM,"<b>The space</b><br />Centrally located in the heart of Harlem located just steps away from major tourists destinations such as: The Schomburg Center for Research in Black Culture, The Apollo Theater, The Studio Museum of Harlem, Abyssinian Baptist Church, Striver’s Row, the Theresa Hotel, Astor Row, and the legendary Jungle Alley, is this beautiful West 131st Street apartment.   <br /> <br />Open, airy, 1,000 Sq. Ft. one bedroom apartment centrally located in a brownstone in the heart of Harlem.  <br /> <br />1-2 Guests $150 a night; 3-4 Guests $175 a night <br /> <br />	17 ft. ceilings, top floor, skylights, private <br />	Sleeps up to 4 (1 queen-sized bed, pullout sofa-bed, blow up mattress available upon request) <br />	Close to transportation: 15-20 minutes to midtown <br />	wifi internet service, cable television, cd player/radio <br />	close to 2 major supermarkets",Harlem,Entire apartment,"['two', '3', 'East Village', 'one', 'warmer months', 'NYC', 'three']"
12937.0,"1 Stop fr. Manhattan! Private Suite,Landmark Block","Private room, dedicated bath and a separate entrance! Totally renovated Queen Anne Historic Townhouse Home on a safe, Landmark Block. Only one stop from Midtown Manhattan!<br />Enjoy the rear private Garden at breakfast time.<br />Beautiful tree lined,quiet street. 4 subway lines ( E, M, 7 and G ) are one block away!<br />Great restaurants, supermarket and cafes nearby.<br /><br /><b>The space</b><br />Beautifully renovated bedroom suite in 1890 Townhouse on historic block, only 5 minutes from Manhattan. <br />Dedicated entrance under stoop to foyer leading to bedroom suite assures privacy (my daytime office/library is in the rear of this floor).<br />Includes one double bed (sleeps 2), & one  thick futon sofa bed<br />(sleeps 2 addit'l ).Microwave, small refrigerator, coffee maker in room. <br />THERE IS NO TV. NO COOKING .<br />WIFI available.<br />A friendly, medium sized dog (Gus) is on the premises.<br /> <br />Private Bathroom (walk-in shower stall big enough for two). <br />Soap",Long Island City,Private room in townhouse,"['Harlem', 'The Schomburg Center for Research in Black Culture', 'The Apollo Theater', 'The Studio Museum of Harlem', 'Abyssinian Baptist Church', 'Striver’s Row', 'the Theresa Hotel', 'Astor Row', 'Jungle Alley', 'West 131st Street', '1,000 Sq', 'one', 'Harlem', '150', '3-4', '175', '4', '15-20 minutes', '2']"
12940.0,Charming Brownstone 3 - Near PRATT,"Super cute 1 bedroom apartment in a 100 year old, historical Brooklyn brownstone.  We are central in Brooklyn and right across the street from the subway.  Lots of Cafes and bars nearby.  10 minutes to lower Manhattan and SOHO, 30 minutes to Times Square.<br /><br /><b>The space</b><br />If you're traveling to New York City don’t settle for a cramped hotel room. Stay in an Historic Brownstone and get a true taste of living as a New Yorker. <br /><br />This 1 bedroom apartment with attached den, is best suited for 2 guests, but can sleep 4.  It is truly charming, with tin ceilings, hardwood floors,  newly renovated  bathroom & kitchen with stainless steel appliances. It also includes free wifi internet!  Living room has a sofa bed and there is a daybed in the small room. Best suited for 2 or a family of 4.  This is a 1.5 bed room apartment- 1 large bedroom with private den attached. <br /><br />Located in the Bedstuy/ Clinton Hill neighborhood of Downtown Brooklyn. We're across the stre",Bedford-Stuyvesant,Entire apartment,"['Queen Anne Historic Townhouse Home', 'Landmark Block', 'one', 'Midtown Manhattan!<br', 'Garden', '4', '7', 'one', 'only 5 minutes', 'Manhattan', 'one', '2', 'one', '2', 'two']"
13121.0,(E) RIGHT ON BUDGET,"<b>The space</b><br />Private Room in residential home with a Private bath.<br />Minimum stay 2 nights. ***(NO SMOKING)*** There will be a charge of $150 (BILLED TO YOUR CREDIT CARD/ACCOUNT) for any smoking in rooms or thru windows to include incense and candles, or damages to items within the home: <br />Hardwood floors, AC, cable-TV, internet, use of full kitchen with microwave.(URL HIDDEN) *************<br />Thank you for choosing Jullett’s Place for your accommodation while visiting our lovely but “expensive” city.  I will do my best to help you have a wonderful and exciting time by providing you with maps, ideas, information and places to see and visit during your stay.<br />• When in doubt please ask about anything and everything.  I will take the time to get the information for you<br />•On the other side are the house rules (not written in stone), but to help both of us (Host and Guest) better understand each other.    It is my goal to provide excellent  service to you and I do",Jamaica,Private room in house,"['1', '100 year old', 'Brooklyn', 'Brooklyn', '10 minutes', 'Manhattan', 'SOHO', '30 minutes', 'Times Square.<br', 'New York City', 'an Historic Brownstone', 'a New Yorker', '1', '2', '4', '2', '4', '1.5', '1', 'Clinton Hill', 'Brooklyn']"
13394.0,Fort Greene brownstone,"Huge room on parlor floor of 100-year old building on tree-lined street in historic district, wood floors, high ceilings, fast wi-fi, a few blocks from 7 major subway lines and 1 stop to Downtown Manhattan. Neighborhood full of bistros, bars, cafes and restaurants, 1 block from Fort Greene Park with weekly Farmers Market. Apt kept clean and disinfected as per mandatory protocols, shoes off inside, no smoking inside, no pets inside...<br /><br /><b>The space</b><br />Large private parlor room with high ceilings in beautiful brownstone on quiet street 1 block from Fort Greene Park. Share full kitchen/bathroom/washer-dryer/wi-fi facilities with documentary sound recordist, who lives in the other side of the 3-bedroom apartment (often away & place will be all yours!)  <br /><br />8 minutes to B/Q//R/4/5/2/3/C/G subways (only 1 stop to Manhattan!) <br /><br />Multi-ethnic & multicultural neighborhood has many lovely bars/cafes/restaurants/shops, and farmers market & flea market on weekends.",Fort Greene,Private room in apartment,"['2 nights', '150', 'Jullett’s Place']"
13808.0,Blue Room for 2 in Brownstone for $1350 monthly,"Romantic quiet room in a beautiful 1800 Liberty house in Central Brooklyn, the ideal cozy retreat to relax after a full day chasing the city. Private Victorian bathroom with crow feet tub to soak and nap waiting for the sun to come up...<br /><br /><b>The space</b><br />A beautiful room for two people in a historical four stories brownstone with original wood details from the 1800s, on a lovely quiet street, one block away from subway, laundry mat, supermarket, and shopping. Cafes, restaurants, and wine bars all around. Guests will have use of a fully functional, modern, all stainless steel kitchen on the upstairs floor. The room is WiFi ready. <br />It has a queen size iron bed, an antique mirror bureau and a dresser, a ship steam trunk, a sofa, a round table where you can eat at, two large wall closets, one with drawers and shelves. <br />A fridge, a microwave, an electric teakettle and a toaster are in the room as well.<br />The Blue Room has its own private bathroom, so you won't h",Bedford-Stuyvesant,Private room in townhouse,"['100-year old', '7', '1', 'Downtown Manhattan', '1', 'Fort Greene Park', 'weekly', 'Farmers Market', 'Fort Greene Park', '3', 'only 1', 'Manhattan', 'weekends']"
14290.0,* ORIGINAL BROOKLYN LOFT *,"Original factory building loft,  lots of natural light 1200+ sqf loft<br />1 x bedroom with queen bed<br />1 x bed loft area with queen bed (ladder steps to access)<br />open plan kitchen living area<br /><br /><b>The space</b><br />BROOKLYN FACTORY LOFT<br /><br />MORGAN AVE L train (5 mins walk away)<br /><br /> (15 mins to union sq)<br /><br />Bushwick / East Williamsburg<br /><br /><br /><br /><br /><br /><br /><br /><br />Large loft,  1200sqf, 14ft ceiling, top floor,loads of light , 2 large queen beds  (1 loft deck/bedroom with ladder steps) office area with large desk, fast <br />wi fi internet, open plan lounge and commercial style kitchen, dining area,<br />stereo for musics etc, photo/art books, projector for evenings in.<br />rooftop one flight up for a view of Manhattan and Brooklyn.<br /><br />fresh towels, sheets, soap etc, provided.<br />lots of light with large windows on south and west direction.<br /><br />This is a non smoking Apartment :)<br /><br /><br />great loca",Williamsburg,Entire loft,"['1800', 'Central Brooklyn', 'a full day', 'two', 'four', 'the 1800s', 'one', 'two', 'one']"
14314.0,Greenpoint Place...Has It All!,"Cozy, comfortable, one bedroom apartment on ground floor of detached Victorian home. Quiet, one way street with minimal traffic.<br /><br /><b>The space</b><br />Greenpoint Place still has great dates available but we are booking up fast!  <br />You will enjoy a fully furnished living space which occupies the entire ground floor of our 1889 Victorian home. We offer you a complete kitchen w/ all appliances, beautifully tiled bath w/oversize shower and a separate bedroom w/queen bed, closet and chest of drawers. Living room w/HDTV and a queen size sofa bed for additional sleeping space. Linens, towels, basic paper products and soap/shampoo are included. On street parking is free, safe and widely available most likely in front of our home. We are a short walk to the 7 train which puts you along 42nd St. in one stop!  The East River Ferry, a nice alternative to the subway, is only six blocks away on India St. and the East River!  Fabulous restaurants, galleries and bars are flooding our ne",Greenpoint,Entire apartment,"['1200+ sqf', '15 mins', '14', '2', 'Manhattan']"
